Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
07/01/2022,SeABank Convert,Summary of Investment Information (AIP Policy 2012),46462,https://disclosures.ifc.org/project-detail/SII/46462/seabank-convert,Loan,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,Vietnam,VNM,Financial Institutions,FI-1,Regional Industry - FIG Asia & Pac,Pending,05/31/2022,05/31/2022,06/30/2022,,,,75,,75,VN,"July 06, 2022 03:15 AM"
06/30/2022,Telecom Arg 2022,Summary of Investment Information (AIP Policy 2012),46720,https://disclosures.ifc.org/project-detail/SII/46720/telecom-arg-2022,,TELECOM ARGENTINA S.A.,Argentina,ARG,"Telecommunications, Media, and Technology",B,Regional Industry - INF LAC,Pending,06/27/2022,06/24/2022,06/28/2022,,4,,50,,54,AR,"July 06, 2022 03:15 AM"
06/30/2022,Ege Endustri,Summary of Investment Information (AIP Policy 2012),46143,https://disclosures.ifc.org/project-detail/SII/46143/ege-endustri,,EGE ENDUSTRI VE TICARET ANONIM SIRKETI,Turkey,TUR,Manufacturing,B,Regional Industry MAS MCT,Pending,06/17/2022,06/17/2022,06/30/2022,,,,42.79,,42.79,TR,"July 06, 2022 03:15 AM"
06/29/2022,Absa Housing,Summary of Investment Information (AIP Policy 2012),46933,https://disclosures.ifc.org/project-detail/SII/46933/absa-housing,,ABSA BANK LTD,South Africa,SOU,Financial Institutions,FI-3,Regional Industry - FIG Africa,Pending,06/28/2022,06/28/2022,06/29/2022,,,,128.12,,128.12,ZA,"July 06, 2022 03:15 AM"
06/28/2022,AGUNSA UCL,Summary of Investment Information (AIP Policy 2012),46489,https://disclosures.ifc.org/project-detail/SII/46489/agunsa-ucl,,Agencias Universales S.A.,Chile,CHL,other,B,CN1S7 - Regional Industry - INF LAC/INR New Business - LAC,Pending,08/12/2022,,,,,,,,,CL,"July 06, 2022 03:15 AM"
06/27/2022,ECCBC Green Loan,Summary of Investment Information (AIP Policy 2012),46396,https://disclosures.ifc.org/project-detail/SII/46396/eccbc-green-loan,,EQUATORIAL COCA COLA BOTTLING COMPANY SL,Africa Region,AFR,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,07/27/2022,,,,,,,,,3A,"July 06, 2022 03:15 AM"
06/27/2022,ECCBC Green Loan,Summary of Investment Information (AIP Policy 2012),46396,https://disclosures.ifc.org/project-detail/SII/46396/eccbc-green-loan,,EQUATORIAL COCA COLA BOTTLING COMPANY SL,Africa Region,AFR,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,07/27/2022,,,,,,,,,3A,"July 06, 2022 03:15 AM"
06/24/2022,Horizon Ukr IV,Summary of Investment Information (AIP Policy 2012),46263,https://disclosures.ifc.org/project-detail/SII/46263/horizon-ukr-iv,,HORIZON CAPITAL GROWTH FUND IV,Ukraine,UKR,Funds,FI-2,Disruptive Technologies and Funds,Pending,08/15/2022,,,,,,,,,UA,"July 06, 2022 03:15 AM"
06/24/2022,RSE Covid HSA,Summary of Investment Information (AIP Policy 2012),46486,https://disclosures.ifc.org/project-detail/SII/46486/rse-covid-hsa,Loan,NATIONAL DAIRY AND FOOD COMPANY LTD,"Yemen, Republic of",YAR,Agribusiness and Forestry,B,Regional Industry MAS MCT,Pending,03/17/2022,03/17/2022,,,,,20,,20,RY,"July 06, 2022 03:15 AM"
06/23/2022,South-East Europe Food Retail,Summary of Investment Information (AIP Policy 2012),46855,https://disclosures.ifc.org/project-detail/SII/46855/south-east-europe-food-retail,,SC KAUFLAND ROMANIA SCS,Southern Europe Region,EUR,"Tourism, Retail, and Property",B,Regional Industry - MAS ECA,Pending,08/05/2022,,,,,,,,,,"July 06, 2022 03:15 AM"
06/23/2022,LOGOS Green Data Center Venture,Summary of Investment Information (AIP Policy 2012),45440,https://disclosures.ifc.org/project-detail/SII/45440/logos-green-data-center-venture,,LOGOS SE ASIA PTE. LTD.,East Asia and Pacific Region,EAP,other,B,Regional Industry - MAS Asia & Pac,Pending,07/25/2022,,,,,,,,,EAP,"July 06, 2022 03:15 AM"
06/23/2022,Dialog 2021,Summary of Investment Information (AIP Policy 2012),46205,https://disclosures.ifc.org/project-detail/SII/46205/dialog-2021,Loan,DIALOG AXIATA PLC,Sri Lanka,SRI,"Telecommunications, Media, and Technology",B,Regional Industry - INF Asia & Pac,Active,05/27/2022,05/27/2022,06/21/2022,06/29/2022,,,150,,150,LK,"July 06, 2022 03:15 AM"
06/23/2022,Olam WC Loan,Summary of Investment Information (AIP Policy 2012),46759,https://disclosures.ifc.org/project-detail/SII/46759/olam-wc-loan,,OLAM INTERNATIONAL LIMITED,World Region,WLD,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus & Services",Pending,06/27/2022,06/27/2022,06/30/2022,,,,200,,200,99,"July 06, 2022 03:15 AM"
06/23/2022,Alcazar Energy Partners II SCSP,Summary of Investment Information (AIP Policy 2012),46314,https://disclosures.ifc.org/project-detail/SII/46314/alcazar-energy-partners-ii-scsp,,ALCAZAR ENERGY PARTNERS II SCSP,MENA Region,EMN,other,FI-1,Regional Industry INF MCT,Pending,08/31/2022,,,,,,,,,MNA,"July 06, 2022 03:15 AM"
06/22/2022,WCS COVID Daycoval II,Summary of Investment Information (AIP Policy 2012),47014,https://disclosures.ifc.org/project-detail/SII/47014/wcs-covid-daycoval-ii,,Banco Daycoval S/A.,Brazil,BRA,Financial Institutions,FI-2,Regional Industry - FIG LAC,Active,06/21/2022,06/24/2022,06/27/2022,06/29/2022,,,100,,100,BR,"July 06, 2022 03:15 AM"
06/20/2022,DCM BQD Blue Bond,Summary of Investment Information (AIP Policy 2012),43703,https://disclosures.ifc.org/project-detail/SII/43703/dcm-bqd-blue-bond,Loan,"Bank Of Qingdao Co., Ltd.",China,CHA,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,06/01/2021,06/01/2021,06/23/2021,,,,150,,150,CN,"July 06, 2022 03:15 AM"
06/16/2022,DCM BCR MREL 2,Summary of Investment Information (AIP Policy 2012),46493,https://disclosures.ifc.org/project-detail/SII/46493/dcm-bcr-mrel-2,,BANCA COMERCIALA ROMANA SA,Romania,ROM,Financial Institutions,FI-3,Regional Industry - FIG - ECA,Active,06/03/2022,06/03/2022,06/06/2022,06/14/2022,,,115,,115,RO,"July 06, 2022 03:15 AM"
06/15/2022,Isbank DPR,Summary of Investment Information (AIP Policy 2012),46006,https://disclosures.ifc.org/project-detail/SII/46006/isbank-dpr,,TURKIYE IS BANKASI ANONIM SIRKETI,Turkey,TUR,Financial Institutions,FI-3,Regional Industry FIG MCT,Pending,07/15/2022,,,,,,,,,TR,"July 06, 2022 03:15 AM"
06/14/2022,MCPP OP Allianz,Summary of Investment Information (AIP Policy 2012),46878,https://disclosures.ifc.org/project-detail/SII/46878/mcpp-op-allianz,,IEELV S.C.SP.,World Region,WLD,Funds,FI-1,"Global Industry, Financial Markets",Pending,07/15/2022,,,,,,,,,99,"July 06, 2022 03:15 AM"
06/08/2022,Growtheum Capital Partners SEA Fund I LP,Summary of Investment Information (AIP Policy 2012),46806,https://disclosures.ifc.org/project-detail/SII/46806/growtheum-capital-partners-sea-fund-i-lp,,"GROWTHEUM CAPITAL PARTNERS SEA FUND I, LP",East Asia and Pacific Region,EAP,Funds,FI-2,Disruptive Technologies and Funds,Pending,09/01/2022,,,,,,,,,EAP,"July 06, 2022 03:15 AM"
06/03/2022,Accra Medical I,Summary of Investment Information (AIP Policy 2012),46180,https://disclosures.ifc.org/project-detail/SII/46180/accra-medical-i,,ACCRA MEDICAL CENTRE LIMITED,Ghana,GHA,Health and Education,B,Regional Industry - MAS Africa,Pending,07/15/2022,,,,,,,,,GH,"July 06, 2022 03:15 AM"
05/31/2022,WCS Fidelity GH,Summary of Investment Information (AIP Policy 2012),46605,https://disclosures.ifc.org/project-detail/SII/46605/wcs-fidelity-gh,,Fidelity Bank Ghana Limited,Ghana,GHA,Financial Institutions,FI-2,Regional Industry - FIG Africa,Pending,08/05/2022,,,,,,,,,GH,"July 06, 2022 03:15 AM"
05/31/2022,GTLP HSBC ,Summary of Investment Information (AIP Policy 2012),46812,https://disclosures.ifc.org/project-detail/SII/46812/gtlp-hsbc-,,GTLP HSBC Bank,World Region,WLD,Financial Institutions,FI-3,"CFGPD - Global Industry, Financial Markets/Trade & Supply Chain, Products",Pending,06/24/2022,,,,,200,100,,300,99,"July 06, 2022 03:15 AM"
05/30/2022,GTFP Global IME ,Summary of Investment Information (AIP Policy 2012),37956,https://disclosures.ifc.org/project-detail/SII/37956/gtfp-global-ime-,,GLOBAL IME BANK LIMITED.,Nepal,NEP,Financial Institutions,FI-3,CF4S5 - Regional Industry - FIG Asia & Pac/FIG Inv Ops - South Asia,Pending,05/23/2022,11/11/2004,,,,,,,,NP,"July 06, 2022 03:15 AM"
05/28/2022,WCS CR Banpais,Summary of Investment Information (AIP Policy 2012),44278,https://disclosures.ifc.org/project-detail/SII/44278/wcs-cr-banpais,,Banco del Pais S.A.,Honduras,HDS,Financial Institutions,FI-2,Regional Industry - FIG LAC,Pending,06/27/2022,06/29/2022,06/30/2022,,,,60,,60,HN,"July 06, 2022 03:15 AM"
05/27/2022,BBVA Colombia Green Senior Loan,Summary of Investment Information (AIP Policy 2012),46526,https://disclosures.ifc.org/project-detail/SII/46526/bbva-colombia-green-senior-loan,,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S A,Colombia,CLM,Financial Institutions,FI-2,Regional Industry - FIG LAC,Active,06/27/2022,06/27/2022,06/28/2022,06/29/2022,,,200,,200,CO,"July 06, 2022 03:15 AM"
05/27/2022,SLGP Equity BCDC,Summary of Investment Information (AIP Policy 2012),45681,https://disclosures.ifc.org/project-detail/SII/45681/slgp-equity-bcdc,,SLGP RSF Equity BCDC,"Congo, Democratic Republic of",ZAI,Financial Institutions,FI-2,CF3S1 - Regional Industry - FIG Africa/FIG Africa Wst & Cen,Pending,06/30/2022,,,,,,,,,ZR,"July 06, 2022 03:15 AM"
05/27/2022,Partech Africa Fund II,Summary of Investment Information (AIP Policy 2012),46744,https://disclosures.ifc.org/project-detail/SII/46744/partech-africa-fund-ii,,PARTECH AFRICA S.L.P.,Africa Region,AFR,Funds,FI-2,Disruptive Technologies and Funds,Pending,07/04/2022,,,,,,,,,3A,"July 06, 2022 03:15 AM"
05/26/2022,Chola 2022 Loan,Summary of Investment Information (AIP Policy 2012),46715,https://disclosures.ifc.org/project-detail/SII/46715/chola-2022-loan,,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,06/27/2022,06/27/2022,06/30/2022,,,,150,,150,IN,"July 06, 2022 03:15 AM"
05/26/2022,DCM Manappuram,Summary of Investment Information (AIP Policy 2012),46651,https://disclosures.ifc.org/project-detail/SII/46651/dcm-manappuram,,MANAPPURAM FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Pending,06/27/2022,06/27/2022,06/30/2022,,,,100.74,,100.74,IN,"July 06, 2022 03:15 AM"
05/26/2022,Agrocorp Corporate Loan,Summary of Investment Information (AIP Policy 2012),45872,https://disclosures.ifc.org/project-detail/SII/45872/agrocorp-corporate-loan,,AGROCORP INTERNATIONAL PTE LTD,Bangladesh,BAN,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,06/28/2022,06/30/2022,,,,,18,,18,BD,"July 06, 2022 03:15 AM"
05/25/2022,CSE Loan,Summary of Investment Information (AIP Policy 2012),44490,https://disclosures.ifc.org/project-detail/SII/44490/cse-loan,,CLINICA SAGRADA ESPERANCA LIMITADA,Angola,ANG,Health and Education,B,Regional Industry - MAS Africa,Pending,07/29/2022,,,,,,,,,AO,"July 06, 2022 03:15 AM"
05/25/2022,Sonker Refi,Summary of Investment Information (AIP Policy 2012),44905,https://disclosures.ifc.org/project-detail/SII/44905/sonker-refi,,SONKER BUNKERING COMPANY S.A.E.,"Egypt, Arab Republic of",EGT,Infrastructure,B,Regional Industry - INF Africa,Pending,06/30/2022,,,,,,,,,EG,"July 06, 2022 03:15 AM"
05/25/2022,BOP Grameen ,Summary of Investment Information (AIP Policy 2012),45403,https://disclosures.ifc.org/project-detail/SII/45403/bop-grameen-,,CREDITACCESS GRAMEEN LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Pending,06/20/2022,06/13/2022,06/29/2022,,,,50,,50,IN,"July 06, 2022 03:15 AM"
05/25/2022,DTRT CMT Expan.,Summary of Investment Information (AIP Policy 2012),46656,https://disclosures.ifc.org/project-detail/SII/46656/dtrt-cmt-expan-,,DTRT APPAREL MAURITIUS LTD,Ghana,GHA,Manufacturing,B,Regional Industry - MAS Africa,Pending,06/27/2022,06/29/2022,,,,,4,,4,GH,"July 06, 2022 03:15 AM"
05/24/2022,FCS RE SCE Senior Loan,Summary of Investment Information (AIP Policy 2012),45510,https://disclosures.ifc.org/project-detail/SII/45510/fcs-re-sce-senior-loan,,SOCIETE CAMEROUNAISE D'EQUIPEMENT S A,Cameroon,CAM,Financial Institutions,FI-2,Regional Industry - FIG Africa,Pending,06/24/2022,06/23/2022,06/30/2022,,,,3.2,,3.2,CM,"July 06, 2022 03:15 AM"
05/24/2022,Tembici RI,Summary of Investment Information (AIP Policy 2012),46491,https://disclosures.ifc.org/project-detail/SII/46491/tembici-ri,,TEMBICI,Brazil,BRA,Infrastructure,B,Disruptive Technologies and Funds,Pending,06/27/2022,06/08/2022,06/30/2022,,,,,5,5,BR,"July 06, 2022 03:15 AM"
05/23/2022,"LeapFrog Emerging Consumer Fund IV, LP",Summary of Investment Information (AIP Policy 2012),46735,https://disclosures.ifc.org/project-detail/SII/46735/leapfrog-emerging-consumer-fund-iv-lp,,LEAPFROG EMERGING CONSUMER FUND IV LP,World Region,WLD,Funds,FI-2,Disruptive Technologies and Funds,Pending,06/23/2022,06/30/2022,06/30/2022,,,,,100,100,99,"July 06, 2022 03:15 AM"
05/23/2022,DCM Access Bank Total Return Swap,Summary of Investment Information (AIP Policy 2012),45332,https://disclosures.ifc.org/project-detail/SII/45332/dcm-access-bank-total-return-swap,,Plover SARL,Nigeria,NIR,Financial Institutions,FI-2,Regional Industry - FIG Africa,Pending,06/24/2022,06/28/2022,06/30/2022,,,,50,,50,NG,"July 06, 2022 03:15 AM"
05/23/2022,BaF Vietnam Agri,Summary of Investment Information (AIP Policy 2012),45972,https://disclosures.ifc.org/project-detail/SII/45972/baf-vietnam-agri,,BAF VIETNAM AGRICULTURE JOINT STOCK COMPANY,Vietnam,VNM,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,07/30/2022,,,,,,,,,VN,"July 06, 2022 03:15 AM"
05/20/2022,DCM HIR Casa ABL,Summary of Investment Information (AIP Policy 2012),45578,https://disclosures.ifc.org/project-detail/SII/45578/dcm-hir-casa-abl,,"BIENES PROGRAMADOS, S.A. DE C.V.",Mexico,MXC,Financial Institutions,FI-3,Regional Industry - FIG LAC,Pending,06/27/2022,,,,,,,,,MX,"July 06, 2022 03:15 AM"
05/20/2022,ONE IMPRESSION,Summary of Investment Information (AIP Policy 2012),46826,https://disclosures.ifc.org/project-detail/SII/46826/one-impression,,ANYCAST TECHNOLOGY PRIVATE LIMITED,India,IND,"Telecommunications, Media, and Technology",C,Disruptive Technologies and Funds,Pending,06/24/2022,06/27/2022,,,,,,4,4,IN,"July 06, 2022 03:15 AM"
05/20/2022,Oasis Atlantico ,Summary of Investment Information (AIP Policy 2012),42535,https://disclosures.ifc.org/project-detail/SII/42535/oasis-atlantico-,,Oasis Atlantico Cape Verde,Cape Verde,CAP,"Tourism, Retail, and Property",B,Regional Industry - MAS Africa,Pending,06/21/2022,06/24/2022,,,1.5,,11.23,,12.73,CV,"July 06, 2022 03:15 AM"
05/19/2022,Platcorp,Summary of Investment Information (AIP Policy 2012),45387,https://disclosures.ifc.org/project-detail/SII/45387/platcorp,,PLATCORP HOLDINGS,Eastern Africa Region,EAN,Financial Institutions,FI-3,Regional Industry - FIG Africa,Pending,06/24/2022,06/29/2022,,,,,25,,25,29,"July 06, 2022 03:15 AM"
05/19/2022,XW Bank Loan,Summary of Investment Information (AIP Policy 2012),46063,https://disclosures.ifc.org/project-detail/SII/46063/xw-bank-loan,,"SICHUAN XINWANG BANK CO., LTD",China,CHA,other,FI-2,Regional Industry - FIG Asia & Pac,Pending,06/20/2022,,,,,,,,,CN,"July 06, 2022 03:15 AM"
05/19/2022,CI Crediclub,Summary of Investment Information (AIP Policy 2012),46497,https://disclosures.ifc.org/project-detail/SII/46497/ci-crediclub,,"CI CREDICLUB, S.A. DE C.V. S.F.P.",Mexico,MXC,Funds,FI-3,Disruptive Technologies and Funds,Pending,06/20/2022,,,,,,,,,MX,"July 06, 2022 03:15 AM"
05/19/2022,SMEV Ascent II a,Summary of Investment Information (AIP Policy 2012),46934,https://disclosures.ifc.org/project-detail/SII/46934/smev-ascent-ii-a,,ASCENT RIFT VALLEY FUND II LP,Africa Region,AFR,Funds,FI-2,Disruptive Technologies and Funds,Pending,06/20/2022,07/17/2017,06/23/2022,,,,,250,250,3A,"July 06, 2022 03:15 AM"
05/18/2022,Peo MSME,Summary of Investment Information (AIP Policy 2012),46378,https://disclosures.ifc.org/project-detail/SII/46378/peo-msme,,PEO FINANCE PROPRIETARY LIMITED,Botswana,BOT,Financial Institutions,FI-3,Regional Industry - FIG Africa,Pending,06/19/2022,06/16/2022,06/24/2022,,,,40,,40,BW,"July 06, 2022 03:15 AM"
05/17/2022,Sanima SME 2022,Summary of Investment Information (AIP Policy 2012),46571,https://disclosures.ifc.org/project-detail/SII/46571/sanima-sme-2022,,SANIMA BANK LIMITED,Nepal,NEP,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,06/24/2022,06/23/2022,06/29/2022,,,,20,,20,NP,"July 06, 2022 03:15 AM"
05/17/2022,FCS Risk Envelope Bar Magen,Summary of Investment Information (AIP Policy 2012),45757,https://disclosures.ifc.org/project-detail/SII/45757/fcs-risk-envelope-bar-magen,,BERGMAN INDUSTRIES LIMITED,Nigeria,NIR,Manufacturing,B,Regional Industry - MAS Africa,Pending,06/13/2022,06/23/2022,06/30/2022,,,,4.5,,4.5,NG,"July 06, 2022 03:15 AM"
05/17/2022,Zambeef III ZMW,Summary of Investment Information (AIP Policy 2012),46603,https://disclosures.ifc.org/project-detail/SII/46603/zambeef-iii-zmw,,ZAMBEEF PRODUCTS PLC,Zambia,ZAM,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,06/30/2022,06/27/2022,06/29/2022,,,,35,,35,ZM,"July 06, 2022 03:15 AM"
05/16/2022,BOP Madagascar,Summary of Investment Information (AIP Policy 2012),46265,https://disclosures.ifc.org/project-detail/SII/46265/bop-madagascar,,BOP Madagascar,Madagascar,MAG,Financial Institutions,FI-2,Regional Industry - FIG Africa,Pending,06/15/2022,06/14/2022,,,,,27,,27,MG,"July 06, 2022 03:15 AM"
05/13/2022,Uhuru Growth Fund I,Summary of Investment Information (AIP Policy 2012),46119,https://disclosures.ifc.org/project-detail/SII/46119/uhuru-growth-fund-i,,UHURU INVESTMENT PARTNERS,Western Africa Region,WAN,Funds,FI-2,Disruptive Technologies and Funds,Pending,06/13/2022,06/24/2022,06/30/2022,,,,,20,20,45,"July 06, 2022 03:15 AM"
05/13/2022,DARP SA Nimble,Summary of Investment Information (AIP Policy 2012),46502,https://disclosures.ifc.org/project-detail/SII/46502/darp-sa-nimble,,NIMBLE CREDIT FACILITY II PROPRIETARY LIMITED,Southern Africa Region,AFS,Financial Institutions,FI-2,Regional Industry - FIG Africa,Pending,06/15/2022,06/13/2022,06/29/2022,,,,40,,40,43,"July 06, 2022 03:15 AM"
05/13/2022,Riverwood LAC II,Summary of Investment Information (AIP Policy 2012),46811,https://disclosures.ifc.org/project-detail/SII/46811/riverwood-lac-ii,,RIVERWOOD CAPITAL PARTNERS,Latin America Region,LAC,Funds,FI-2,Disruptive Technologies and Funds,Pending,06/20/2022,06/16/2022,06/30/2022,,,,,40,40,33,"July 06, 2022 03:15 AM"
05/13/2022,Coelba Disco,Summary of Investment Information (AIP Policy 2012),46207,https://disclosures.ifc.org/project-detail/SII/46207/coelba-disco,,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,Brazil,BRA,Infrastructure,B,Regional Industry - INF LAC,Pending,06/15/2022,06/15/2022,06/29/2022,,,,115.7,,115.7,BR,"July 06, 2022 03:15 AM"
05/13/2022,WCS FSDH Merchant Bank,Summary of Investment Information (AIP Policy 2012),46132,https://disclosures.ifc.org/project-detail/SII/46132/wcs-fsdh-merchant-bank,,FSDH MERCHANT BANK LIMITED.,Nigeria,NIR,Financial Institutions,FI-2,CF3S2 - Regional Industry - FIG Africa/FIG Africa East & South,Pending,06/15/2022,06/30/2022,06/30/2022,,,,20,,20,NG,"July 06, 2022 03:15 AM"
05/13/2022,ISC-EWA II,Summary of Investment Information (AIP Policy 2012),44857,https://disclosures.ifc.org/project-detail/SII/44857/isc-ewa-ii,,EWA CAPITAL,Colombia,CLM,Funds,FI-2,Disruptive Technologies and Funds,Pending,11/27/2020,,,,,,,,,CO,"July 06, 2022 03:15 AM"
05/11/2022,Project Autumn,Summary of Investment Information (AIP Policy 2012),46166,https://disclosures.ifc.org/project-detail/SII/46166/project-autumn,Equity,EQUITY GROUP HOLDINGS PLC,Kenya,KEN,Financial Institutions,FI-1,Regional Industry - FIG Africa,Active,12/21/2021,12/21/2021,12/24/2021,01/26/2022,,,,84.05,84.05,KE,"July 06, 2022 03:15 AM"
05/11/2022,Bocom Clean Cooking Facility,Summary of Investment Information (AIP Policy 2012),45530,https://disclosures.ifc.org/project-detail/SII/45530/bocom-clean-cooking-facility,,BOCOM PETROLEUM SA,Cameroon,CAM,Manufacturing,B,Regional Industry - MAS Africa,Pending,06/10/2022,06/16/2022,06/30/2022,,,,26.74,,26.74,CM,"July 06, 2022 03:15 AM"
05/11/2022,DCM TCHFL SB,Summary of Investment Information (AIP Policy 2012),46494,https://disclosures.ifc.org/project-detail/SII/46494/dcm-tchfl-sb,,TATA CAPITAL HOUSING FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Pending,06/15/2022,06/15/2022,,,,,144.83,,144.83,IN,"July 06, 2022 03:15 AM"
05/11/2022,GWFP Volcafe,Summary of Investment Information (AIP Policy 2012),46352,https://disclosures.ifc.org/project-detail/SII/46352/gwfp-volcafe,,VOLCAFE LTD,Eastern Africa Region,EAN,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Pending,06/27/2022,,,,,,,,,29,"July 06, 2022 03:15 AM"
05/11/2022,DCM TCCL SLB,Summary of Investment Information (AIP Policy 2012),45800,https://disclosures.ifc.org/project-detail/SII/45800/dcm-tccl-slb,,TATA CLEANTECH CAPITAL LIMITED,India,IND,Financial Institutions,FI-2,CF4S5 - Regional Industry - FIG Asia & Pac/FIG Inv Ops - South Asia,Pending,06/15/2022,06/13/2022,,,,,48.28,,48.28,IN,"July 06, 2022 03:15 AM"
05/10/2022,"Zener SA, Togo",Summary of Investment Information (AIP Policy 2012),43339,https://disclosures.ifc.org/project-detail/SII/43339/zener-sa-togo,,ZENER SA,Togo,TOG,Manufacturing,B,Regional Industry - MAS Africa,Pending,06/16/2022,06/21/2022,06/29/2022,,,,8.66,,8.66,TG,"July 06, 2022 03:15 AM"
05/10/2022,GSCF VPBank,Summary of Investment Information (AIP Policy 2012),46751,https://disclosures.ifc.org/project-detail/SII/46751/gscf-vpbank,,GSCF VPBank,Vietnam,VNM,Financial Institutions,FI-2,"CFGPD - Global Industry, Financial Markets/Trade & Supply Chain, Products",Pending,06/10/2022,,,,,,75,,75,VN,"July 06, 2022 03:15 AM"
05/10/2022,BT SNP Blue Loan,Summary of Investment Information (AIP Policy 2012),46288,https://disclosures.ifc.org/project-detail/SII/46288/bt-snp-blue-loan,,BANCA TRANSILVANIA SA,Romania,ROM,Financial Institutions,FI-2,Regional Industry - FIG - ECA,Active,06/15/2022,06/13/2022,06/24/2022,06/30/2022,,,106.97,,106.97,RO,"July 06, 2022 03:15 AM"
05/10/2022,SABESP UCL,Summary of Investment Information (AIP Policy 2012),46253,https://disclosures.ifc.org/project-detail/SII/46253/sabesp-ucl,,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,Brazil,BRA,Infrastructure,B,Regional Industry - INF LAC,Pending,06/15/2022,06/24/2022,06/27/2022,,,,159.87,,159.87,BR,"July 06, 2022 03:15 AM"
05/09/2022,Arrawaj S. Loan,Summary of Investment Information (AIP Policy 2012),46144,https://disclosures.ifc.org/project-detail/SII/46144/arrawaj-s--loan,,FONDATION ARRAWAJ DE LA FINANCE INCLUSIVE,Morocco,MYC,Financial Institutions,FI-3,Regional Industry - FIG Africa,Hold,06/10/2022,06/10/2022,,,,,15,,15,MA,"July 06, 2022 03:15 AM"
05/09/2022,E-buses Chile,Summary of Investment Information (AIP Policy 2012),44610,https://disclosures.ifc.org/project-detail/SII/44610/e-buses-chile,,SUMINISTRADORA DE BUSES K CUATRO SPA,Chile,CHL,Infrastructure,B,Regional Industry - INF LAC,Pending,06/09/2022,,,,,,,,,CL,"July 06, 2022 03:15 AM"
05/06/2022,DCM BDO Blue Bond,Summary of Investment Information (AIP Policy 2012),46151,https://disclosures.ifc.org/project-detail/SII/46151/dcm-bdo-blue-bond,Loan,"BDO UNIBANK, INC.",Philippines,PHL,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,04/27/2022,04/27/2022,04/29/2022,05/16/2022,,,100,,100,PH,"July 06, 2022 03:15 AM"
05/05/2022,Rupshi Foods,Summary of Investment Information (AIP Policy 2012),46329,https://disclosures.ifc.org/project-detail/SII/46329/rupshi-foods,,RUPSHI FOODS LTD.,Bangladesh,BAN,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,06/10/2022,06/10/2022,06/30/2022,,,,20,,20,BD,"July 06, 2022 03:15 AM"
05/05/2022,NXTP Fund III,Summary of Investment Information (AIP Policy 2012),46450,https://disclosures.ifc.org/project-detail/SII/46450/nxtp-fund-iii,,NXTP FUND III,Latin America Region,LAC,Funds,FI-2,Disruptive Technologies and Funds,Pending,05/25/2022,,,,,,,,,33,"July 06, 2022 03:15 AM"
05/04/2022,LDC Brasil,Summary of Investment Information (AIP Policy 2012),44281,https://disclosures.ifc.org/project-detail/SII/44281/ldc-brasil,,LOUIS DREYFUS COMPANY FINANCE B.V.,Brazil,BRA,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Pending,06/06/2022,06/29/2022,,,,,100,,100,BR,"July 06, 2022 03:15 AM"
05/04/2022,Resource Partners III,Summary of Investment Information (AIP Policy 2012),46693,https://disclosures.ifc.org/project-detail/SII/46693/resource-partners-iii,,RESOURCE EASTERN EUROPEAN EQUITY PARTNERS III SCA SICAV-RAIF,Poland,POL,Funds,FI-2,Disruptive Technologies and Funds,Pending,06/15/2022,06/10/2022,06/28/2022,,,,,16.04,16.04,PL,"July 06, 2022 03:15 AM"
05/04/2022,BlaBlaCar,Summary of Investment Information (AIP Policy 2012),45926,https://disclosures.ifc.org/project-detail/SII/45926/blablacar,,COMUTO SA,World Region,WLD,Infrastructure,B,Disruptive Technologies and Funds,Pending,06/17/2022,06/03/2022,06/15/2022,,,,15,,15,99,"July 06, 2022 03:15 AM"
