Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
11/20/1996,AEF Grands Hotels de Madagascar,Summary of Proposed Investment (Disclosure Policy 2006),7922,https://disclosures.ifc.org/project-detail/SPI/7922/aef-grands-hotels-de-madagascar,Loan,Grands Hotels de Madagascar,Madagascar,MAG,"Tourism, Retail, and Property",B,Regional Industry - MAS Africa,Completed,,03/27/1997,09/12/1997,01/21/1998,,,1.11,,1.11,MG,"July 06, 2022 03:15 AM"
11/18/1996,SEF ABN AMRO Registrars,Summary of Proposed Investment (Disclosure Policy 2006),7288,https://disclosures.ifc.org/project-detail/SPI/7288/sef-abn-amro-registrars,Equity,ABN AMRO  Registrars,Kazakhstan,KAZ,Financial Institutions,C,Regional Industry - FIG - ECA,Completed,,11/04/1996,05/20/1997,07/07/1997,,,,0.02,0.02,KZ,"July 06, 2022 03:15 AM"
11/18/1996,Ecobank - Burkina Faso,Summary of Proposed Investment (Disclosure Policy 2006),7830,https://disclosures.ifc.org/project-detail/SPI/7830/ecobank---burkina-faso,Equity,ECOBANK BURKINA FASO,Burkina Faso,BUR,Financial Institutions,C,"Global Industry, Financial Markets",Completed,,04/22/1997,09/30/1997,10/29/1997,,,,0.26,0.26,BF,"July 06, 2022 03:15 AM"
11/18/1996,Credit Finance and Commerce Bank Limited,Summary of Proposed Investment (Disclosure Policy 2006),7876,https://disclosures.ifc.org/project-detail/SPI/7876/credit-finance-and-commerce-bank-limited,Loan,CFC Bank Limited,Kenya,KEN,Financial Institutions,C,Regional Industry - FIG Africa,Completed,,12/31/1996,06/03/1997,09/02/1997,,,10,,10,KE,"July 06, 2022 03:15 AM"
11/18/1996,Intermarket Discount House Zambia Limited,Summary of Proposed Investment (Disclosure Policy 2006),7877,https://disclosures.ifc.org/project-detail/SPI/7877/intermarket-discount-house-zambia-limited,Equity,Intermarket Discount House (Zambia) Limited,Zambia,ZAM,Financial Institutions,C,Regional Industry - FIG Africa,Completed,,02/26/1997,05/28/1997,07/09/1997,,,,0.5,0.5,ZM,"July 06, 2022 03:15 AM"
11/18/1996,Finance Bank of Zambia Limited,Summary of Proposed Investment (Disclosure Policy 2006),7908,https://disclosures.ifc.org/project-detail/SPI/7908/finance-bank-of-zambia-limited,Loan,Finance Bank Zambia Limited,Zambia,ZAM,Financial Institutions,FI,Regional Industry - FIG Africa,Completed,,02/04/1997,05/28/1997,06/25/1997,,,5,,5,ZM,"July 06, 2022 03:15 AM"
11/14/1996,AEF Makini School  Limited,Summary of Proposed Investment (Disclosure Policy 2006),7711,https://disclosures.ifc.org/project-detail/SPI/7711/aef-makini-school--limited,Loan,Makini School Limited,Kenya,KEN,Health and Education,B,Regional Industry - MAS Africa,Completed,,01/09/1997,05/22/1997,11/25/1997,,,0.55,,0.55,KE,"July 06, 2022 03:15 AM"
11/14/1996,Georgia Glass & Mineral Water Company,Summary of Proposed Investment (Disclosure Policy 2006),7777,https://disclosures.ifc.org/project-detail/SPI/7777/georgia-glass-&-mineral-water-company,Equity,Georgian Glass and Mineral Water Company N.V.,Georgia,GEO,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,05/08/1997,06/25/1997,08/19/1997,,,,2.9,2.9,GE,"July 06, 2022 03:15 AM"
11/14/1996,Phatra Thanakit Finance & Securities,Summary of Proposed Investment (Disclosure Policy 2006),7786,https://disclosures.ifc.org/project-detail/SPI/7786/phatra-thanakit-finance-&-securities,Loan,Phatra Thanakit Public Company Limited,Thailand,THL,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Completed,,12/06/1996,12/16/1996,12/19/1996,,,13.04,,13.04,TH,"July 06, 2022 03:15 AM"
11/14/1996,"AEF Agflora Private Limited, Zimbabwe",Summary of Proposed Investment (Disclosure Policy 2006),7831,https://disclosures.ifc.org/project-detail/SPI/7831/aef-agflora-private-limited-zimbabwe,Loan,Agflora (PVT) Limited,Zimbabwe,ZIM,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,12/19/1996,01/21/1997,05/14/1997,,,0.24,,0.24,,"July 06, 2022 03:15 AM"
